uri,creation_timestamp,title,top_creation_timestamp,top_title,dubbing_info,media_variants,product_tags,media_metadata.camera_metadata.has_camera_metadata,cross_post_source.source_app,creation_date,creation_month,top_creation_date,likes,comments,reach,impressions,saves,shares,profile_visits,follows,followers_count,engagement,engagement_rate,hour,weekday,like_rate,comment_rate,save_rate,performance_label
media/posts/202405/18002243222540185.jpg,2024-05-11 20:00:58+07:00,,2024-05-11 20:00:58+07:00,Komang,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Saturday,,,,Quantile 0.25
media/posts/202405/18043378510762236.jpg,2024-05-11 20:00:58+07:00,,2024-05-11 20:00:58+07:00,Komang,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Saturday,,,,Quantile 0.25
media/posts/202405/18015619079093928.jpg,2024-05-11 20:00:58+07:00,,2024-05-11 20:00:58+07:00,Komang,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Saturday,,,,Quantile 0.25
media/posts/202405/18103787452395266.jpg,2024-05-11 20:00:58+07:00,,2024-05-11 20:00:58+07:00,Komang,,,,False,FB,2024-05-11,2024-05,2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Saturday,,,,Quantile 0.25
media/posts/202405/18437992549057708.jpg,2024-05-10 20:01:19+07:00,,2024-05-10 20:01:19+07:00,Conchita,,,,False,FB,2024-05-10,2024-05,2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Friday,,,,Quantile 0.25
media/posts/202405/18022330913474992.jpg,2024-05-10 20:01:19+07:00,,2024-05-10 20:01:19+07:00,Conchita,,,,False,FB,2024-05-10,2024-05,2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Friday,,,,Quantile 0.25
media/posts/202405/17950075622792147.jpg,2024-05-10 20:01:19+07:00,,2024-05-10 20:01:19+07:00,Conchita,,,,False,FB,2024-05-10,2024-05,2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Friday,,,,Quantile 0.25
media/posts/202405/18066670396525067.jpg,2024-05-10 20:01:19+07:00,,2024-05-10 20:01:19+07:00,Conchita,,,,False,FB,2024-05-10,2024-05,2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Friday,,,,Quantile 0.25
media/posts/202405/18266468455236165.jpg,2024-05-10 20:01:19+07:00,,2024-05-10 20:01:19+07:00,Conchita,,,,False,FB,2024-05-10,2024-05,2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Friday,,,,Quantile 0.25
media/posts/202405/18021829457275609.jpg,2024-05-10 20:01:19+07:00,,2024-05-10 20:01:19+07:00,Conchita,,,,False,FB,2024-05-10,2024-05,2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Friday,,,,Quantile 0.25
