dominant_hex_1,dominant_hex_2,dominant_hex_3,dominant_pct_1,dominant_pct_2,dominant_pct_3,avg_hue01,avg_saturation,avg_value,std_value,colorfulness,warm_ratio,uri,engagement,engagement_rate,log_engagement_rate,performance_label_log
#0F1715,#303A38,#51605E,0.323,0.2596,0.233,0.45765692774577127,0.31795872376039835,0.2875701960784314,0.18488898279949112,44.6502242227476,0.0696,media/other/17884679940021700.jpg,46.0,0.046,0.044973365642731154,Medium
#092C29,#060D0C,#7B5B4C,0.3428,0.302,0.1386,0.33332183222374495,0.6239935259334529,0.24207215686274514,0.1959312480316705,43.4243766588246,0.3748,media/other/18065167399597365.jpg,79.0,0.079,0.07603468627599762,High
#392818,#634228,#BBBCBD,0.3636,0.2944,0.1432,0.1634523241612737,0.44241371078727354,0.4163490196078431,0.19736936759901721,53.64140793639026,0.7952,media/other/17882398335095233.jpg,65.0,0.065,0.06297479916138844,Medium
#232820,#3B4032,#AFB4BE,0.399,0.2502,0.1702,0.3372457855218452,0.1991384414793083,0.3479043137254902,0.2291632344636344,55.97295576318464,0.1228,media/other/18027028949218432.jpg,72.0,0.072,0.06952606264861023,Medium
#334343,#495958,#202E2C,0.3392,0.2956,0.2098,0.48009426618046847,0.24475525039972718,0.3112211764705882,0.11270541774298058,27.702685271595588,0.036,media/other/18019324949158419.jpg,79.0,0.079,0.07603468627599762,High
#995B38,#756666,#21140E,0.3026,0.2208,0.1734,0.09948707606092597,0.4726569858479359,0.47692862745098047,0.19319643396165917,40.30753758064413,0.9566,media/other/18039304432839800.jpg,57.0,0.057,0.055434706888100586,Medium
#4E3023,#6A4B3D,#32150B,0.271,0.2386,0.2122,0.051211041687059616,0.4996475280258614,0.3972807843137255,0.1675742117358996,41.90081247028002,1.0,media/other/18030760628137834.jpg,50.0,0.05,0.048790164169432,Medium
#2C2921,#191813,#9A7656,0.4064,0.3398,0.1812,0.13670913938841628,0.29670729868069456,0.2527764705882353,0.20376942423856798,40.14490892332474,0.659,media/other/18105144331414416.jpg,73.0,0.073,0.07045846364856141,Medium
#080F0E,#1B2B29,#B38F83,0.2846,0.2736,0.1692,0.28128106169162004,0.42363270423018057,0.3181992156862745,0.2467901737419746,53.11418125070679,0.4952,media/other/18015676136396133.jpg,70.0,0.07,0.06765864847381481,Medium
#2E3C3B,#435150,#1B2927,0.3476,0.252,0.2278,0.47522368614483224,0.2547072977119522,0.2828807843137255,0.11090964854237158,27.418017283770627,0.029,media/other/18009506885543551.jpg,46.0,0.046,0.044973365642731154,Medium
#835538,#CC9957,#ECD59B,0.2332,0.2226,0.218,0.22429016713878558,0.3722849386866777,0.6409866666666667,0.26539003693105806,63.83716369317366,0.7344,media/other/17925800663816967.jpg,41.0,0.041,0.04018178963283184,Low
#A77453,#72422C,#766E70,0.2672,0.2488,0.243,0.3527297933850742,0.35544182037075417,0.45435137254901964,0.1786311954942106,38.90731939314713,0.8674,media/other/17896016310023866.jpg,74.0,0.074,0.07138999608667293,Medium
#4D6661,#C47042,#130F0C,0.331,0.2534,0.2046,0.21413228747301646,0.43673190196362777,0.510961568627451,0.28589778212109457,52.44153430762498,0.5956,media/other/17972963996736884.jpg,39.0,0.039,0.038258712117090345,Low
#5E1A20,#73252B,#2D1011,0.5046,0.4334,0.0384,0.9443880972094243,0.6902700144637285,0.40632235294117647,0.08997328076701443,22.45926653060963,0.9996,media/other/17922989363926470.jpg,55.0,0.055,0.05354076692802982,Medium
#6D8E84,#E18047,#ECB888,0.2736,0.2602,0.2134,0.17036075423118027,0.5194671671379264,0.7276219607843137,0.19582922591250707,50.51327693104778,0.7172,media/other/18270038941174975.jpg,60.0,0.06,0.05826890812397577,Medium
#A06343,#25616A,#7E4A31,0.2776,0.2468,0.2322,0.17482228684648132,0.5949154003167978,0.522236862745098,0.14468433676893575,37.42959523495945,0.7466,media/other/18041373838925242.jpg,61.0,0.061,0.05921185963184609,Medium
#031A19,#76574B,#533D34,0.4672,0.1576,0.1508,0.2802029271450092,0.6001296926665499,0.2520439215686274,0.17322509487869364,37.996067026984925,0.4922,media/other/18100229539420784.jpg,59.0,0.059,0.05732506661926941,Medium
#53656F,#C8A569,#774D2D,0.2278,0.2186,0.212,0.2360522042966708,0.4537031110358719,0.5319529411764705,0.19263789714282437,42.74034049769251,0.6666,media/other/18190444993295328.jpg,55.0,0.055,0.05354076692802982,Medium
#3E474E,#565B5F,#292D2A,0.466,0.189,0.1624,0.44452628380418374,0.20791658792580384,0.36289019607843137,0.14516010495567308,33.62829506557862,0.1934,media/other/18008398001611283.jpg,133.0,0.133,0.12486898204586927,High
#142936,#091B26,#203746,0.4234,0.2892,0.2544,0.5427973400530763,0.6490598143970102,0.23053882352941174,0.10745900937800118,24.02459196382199,0.0438,media/other/18013553804224632.jpg,88.0,0.088,0.08434114843375087,High
