uri,creation_timestamp,title,top_creation_timestamp,top_title,dubbing_info,media_variants,product_tags,media_metadata.camera_metadata.has_camera_metadata,cross_post_source.source_app,creation_date,creation_month,top_creation_date,likes,comments,reach,impressions,saves,shares,profile_visits,follows,followers_count,engagement,engagement_rate,hour,weekday,performance_label,engagement_rate_w,log_engagement_rate,performance_label_log
media/other/17864408286098662.jpg,2024-03-26 19:01:31+07:00,Right crosses left.,,,,,,False,FB,2024-03-26,2024-03,,87.0,0.0,1794.0,2020.0,3.0,3.0,65.0,0.0,1000,87.0,0.087,19,Tuesday,Quantile 0.75,0.087,0.08342160813907239,High
media/other/18019331471124643.jpg,2024-03-22 20:01:30+07:00,Collarbone cradles.,,,,,,False,FB,2024-03-22,2024-03,,86.0,1.0,1288.0,1516.0,5.0,1.0,23.0,0.0,1000,87.0,0.087,20,Friday,Quantile 0.75,0.087,0.08342160813907239,High
media/other/17858006157115512.jpg,2024-03-22 20:01:09+07:00,Tip of the tongue.,,,,,,False,FB,2024-03-22,2024-03,,113.0,0.0,1418.0,1670.0,10.0,3.0,40.0,0.0,1000,113.0,0.113,20,Friday,Quantile 0.75,0.113,0.10705907229340779,High
media/other/18036696931684670.jpg,2024-03-21 19:01:29+07:00,Clasp and contrast.,,,,,,False,FB,2024-03-21,2024-03,,76.0,2.0,1231.0,1483.0,7.0,1.0,23.0,0.0,1000,78.0,0.078,19,Thursday,Quantile 0.75,0.078,0.07510747248680541,High
media/other/18337977934128255.jpg,2024-03-21 19:01:22+07:00,Creases dripping over.,,,,,,False,FB,2024-03-21,2024-03,,120.0,2.0,1830.0,2172.0,13.0,2.0,59.0,0.0,1000,122.0,0.122,19,Thursday,Quantile 0.75,0.122,0.11511280710050457,High
media/other/17973756833678898.jpg,2024-03-20 19:01:07+07:00,Rolling velvet skin.,,,,,,False,FB,2024-03-20,2024-03,,75.0,2.0,1632.0,1954.0,7.0,0.0,42.0,0.0,1000,77.0,0.077,19,Wednesday,Quantile 0.75,0.077,0.07417939817425151,High
media/other/17933470850818289.jpg,2024-03-18 16:09:23+07:00,Create. Consume. Create. Consume.,,,,,,False,FB,2024-03-18,2024-03,,183.0,4.0,2135.0,2625.0,11.0,2.0,113.0,4.0,1000,187.0,0.187,16,Monday,Quantile 0.75,0.187,0.17142911562753096,High
media/other/18425719153045778.jpg,2024-03-18 16:05:45+07:00,Etchings in flesh.,,,,,,False,FB,2024-03-18,2024-03,,121.0,3.0,1920.0,2172.0,9.0,5.0,58.0,0.0,1000,124.0,0.124,16,Monday,Quantile 0.75,0.124,0.11689375147149933,High
media/other/17904902930946304.jpg,2024-03-08 20:04:23+07:00,SeeÂ more.,,,,,,False,FB,2024-03-08,2024-03,,144.0,0.0,2141.0,2735.0,9.0,4.0,102.0,2.0,1000,144.0,0.144,20,Friday,Quantile 0.75,0.144,0.13453089295760615,High
media/other/18079893457443261.jpg,2024-03-08 20:03:52+07:00,"Hold on. 
Here we go.",,,,,,False,FB,2024-03-08,2024-03,,287.0,18.0,15546.0,26749.0,26.0,16.0,472.0,28.0,1000,305.0,0.305,20,Friday,Quantile 0.75,0.305,0.26620304077465673,High
media/other/18046705567622074.jpg,2024-03-08 20:02:36+07:00,From the fissure.,,,,,,False,FB,2024-03-08,2024-03,,128.0,7.0,1796.0,2273.0,7.0,4.0,51.0,0.0,1000,135.0,0.135,20,Friday,Quantile 0.75,0.135,0.126632650933366,High
media/other/18070344352483188.jpg,2024-03-08 20:02:09+07:00,Venus front and back.,,,,,,False,FB,2024-03-08,2024-03,,120.0,6.0,2591.0,3040.0,7.0,4.0,50.0,1.0,1000,126.0,0.126,20,Friday,Quantile 0.75,0.126,0.11867152971749864,High
media/other/17948526479776599.jpg,2024-03-08 19:58:59+07:00,Bite test. Tastes recycled.,,,,,,False,FB,2024-03-08,2024-03,,426.0,18.0,27530.0,48572.0,46.0,28.0,623.0,29.0,1000,444.0,0.444,19,Friday,Quantile 0.75,0.31711999999999985,0.27544753478343825,High
